sweep,di,dj,dk,r_mm,n_rv,n_lv,tau_rv,tau_lv,d_rv_lv,tau_rv_err,tau_lv_err,chi_rv,chi_lv,tail_rv,tail_lv,tail_d
grid3,-2,-2,1,4.908351193475419,2438772,1926012,1.7027091929686495,1.522628065076541,0.18008112789210862,0.17086063222386233,0.15297260238399313,2.7323855755093347,2.296947845855401,2.166585210868876,1.5996691656278235,0.5669160452410527
grid3,-2,-2,2,5.675505725248761,2408138,1914378,1.7708542605708466,1.4965743747464257,0.27427988582442087,0.17939827106260042,0.15211379531920488,2.650612708999486,2.2494451554177988,2.1037593735033697,1.6174568685157777,0.486302504987592
grid3,-2,-2,3,6.763415426794213,2375789,1899754,1.7139134628003803,1.4796364694762443,0.23427699332413598,0.17444335212017242,0.14997351240485937,2.824268150300773,2.2625209148733862,2.0217864551577107,1.584728991268043,0.4370574638896678
grid3,-2,-1,-3,6.140285954040529,2477148,1938585,1.5695917552703451,1.3806484499503517,0.18894330531999337,0.153187871144613,0.12715622388943898,2.8059979842094243,2.3427403447699287,1.8032618214046954,1.6425916534819178,0.16067016792277755
grid3,-2,-1,-2,4.9163694530945214,2462189,1942493,1.577004354715151,1.3941897992674144,0.18281455544773673,0.15316615438964376,0.13080088523325367,2.959930163827988,2.3108146757615797,2.114845683555323,1.6875969497659262,0.42724873378939665
grid3,-2,-1,-1,4.006399231289992,2443823,1942586,1.6265947114884443,1.4412981333661554,0.18529657812228884,0.16060655729147721,0.13756229390606947,2.8506440429102042,2.2969610865724785,1.938166546528542,1.7005125784501562,0.2376539680783858
grid3,-2,-1,0,3.653046701161612,2421311,1938492,1.709406895435976,1.4618009803401808,0.24760591509579521,0.17188809991959186,0.13958262303157404,2.870924911524923,2.348797824588735,1.864363293612039,1.6719263421801691,0.19243695143186978
grid3,-2,-1,1,4.006399231289992,2394497,1931363,1.686915556684098,1.5380467694539066,0.14886878723019148,0.16840946628847492,0.1515549599079597,2.6805896918717664,2.2439335847516606,1.9333501442526078,1.710398892913007,0.2229512513396008
grid3,-2,-1,2,4.9163694530945214,2364944,1920592,1.7028409618138507,1.540329494242548,0.16251146757130264,0.1736601840703042,0.15255906731564872,2.773842183449791,2.167539321369631,2.0243820791936686,1.6308921239531404,0.3934899552405282
grid3,-2,-1,3,6.140285954040529,2332783,1907131,1.6809800381975932,1.5516340034585263,0.12934603473906692,0.17086200517823816,0.15270772677778208,2.874824412720562,2.169680305995928,2.011555666750966,1.601793119874215,0.40976254687675095
grid3,-2,0,-3,5.918013691381923,2421798,1937082,1.6112598461340757,1.398170238054826,0.2130896080792497,0.1633349521094381,0.12935340733096234,2.8104949933797756,2.3214425445554023,1.8783013583129333,1.6921488394235826,0.1861525188893507
grid3,-2,0,-2,4.6357807382702445,2407692,1941752,1.5846806922692398,1.3675413973039896,0.2171392949652502,0.1588937285282193,0.12454272303778612,2.783861873154376,2.367652209699979,1.9742505486360495,1.6833114895468377,0.2909390590892118
grid3,-2,0,-1,3.656639065381969,2389534,1942760,1.6383836076842486,1.4545087537623194,0.18387485392192926,0.1638677844147388,0.13542032778596627,2.7890798390371674,2.3471063517710973,1.9870981193101271,1.7017821623276124,0.2853159569825148
grid3,-2,0,0,3.26565838,2367250,1939834,1.6385658307157946,1.4890926728838976,0.14947315783189707,0.16578099958428638,0.14001156409353807,2.8176265869994896,2.28226165199043,2.085704674083566,1.9541885273278885,0.13151614675567758
grid3,-2,0,1,3.656639065381969,2341164,1933448,1.6744630530990303,1.4553616150986894,0.21910143800034088,0.16611069515949972,0.13696298240497656,2.726719381056699,2.294255932565671,2.0451706263030194,1.8069814782840787,0.23818914801894064
grid3,-2,0,2,4.6357807382702445,2312691,1923551,1.732541480708883,1.5063037756398228,0.22623770506906027,0.1798566916343591,0.14570285194152838,2.6777070692681075,2.2137286847413256,1.8974323313907788,1.7216667685019342,0.1757655628888446
grid3,-2,0,3,5.918013691381923,2281595,1910817,1.74621715347719,1.555072780689615,0.191144372787575,0.18383267155482483,0.15395263899511905,2.6698888619968084,2.2840385253071065,1.9934324149606546,1.6683934251906871,0.3250389897699675
grid3,-2,1,-3,6.140285954040529,2359410,1932873,1.5737092357867013,1.4007486448170852,0.17296059096961613,0.1616820638031992,0.12976474316869957,2.8476135752232996,2.3554606810853587,2.0226496409716774,1.7191733151362822,0.3034763258353952
grid3,-2,1,-2,4.9163694530945214,2345458,1938751,1.6023456719842115,1.4097083413511595,0.192637330633052,0.16264389701468507,0.1287495981758467,2.9129572642949295,2.3465215869349225,2.045270126673363,1.7156445686840478,0.32962555798931503
grid3,-2,1,-1,4.006399231289992,2327695,1940300,1.5786731676742087,1.4161900723826726,0.16248309529153615,0.16148199157562257,0.12891857483185934,2.878473802256843,2.3019456083737526,1.7878474456057203,1.72456214375964,0.06328530184608039
grid3,-2,1,0,3.653046701161612,2306492,1938092,1.583293885722565,1.4309845672317814,0.15230931849078355,0.1622591509369864,0.13158417495111102,2.7439872656655724,2.383916663703102,1.8237229228559377,1.6631197380042455,0.16060318485169223
grid3,-2,1,1,4.006399231289992,2281275,1933167,1.6280436616479594,1.4634617800406349,0.16458188160732456,0.1658926867809661,0.13583423640574682,2.820322664644231,2.3104921630883504,1.9191292435942342,2.024608260156709,-0.1054790165624746
grid3,-2,1,2,4.9163694530945214,2253192,1924310,1.647057150719971,1.488969349650438,0.15808780106953302,0.17607428257155294,0.14154825014230576,2.7249896532309514,2.354928796755627,1.8287322102692531,1.7380023080280327,0.09072990224122046
grid3,-2,1,3,6.140285954040529,2223092,1911963,1.6443546487297176,1.5249863753512958,0.11936827337842182,0.1750391798752193,0.1481530900525398,2.742700425323637,2.2651896678717898,1.974413811719873,1.6483929647672075,0.32602084695266553
grid3,-2,2,-3,6.763415426794213,2291607,1925171,1.577921421270838,1.4233620154275386,0.1545594058432993,0.16344600692926,0.132479504384424,2.8538073619392246,2.4138408229136994,2.0316462905894963,1.7664413303614765,0.26520496022801976
grid3,-2,2,-2,5.675505725248761,2276274,1932161,1.574761089725371,1.4569791660057512,0.11778192371961982,0.16660065432252644,0.13344460595670313,2.814314678182793,2.510851305734673,2.0582345908413617,2.0812345832054864,-0.022999992364124644
grid3,-2,2,-1,4.908351193475419,2259266,1935140,1.574825719105746,1.459915722558826,0.11490999654692002,0.16706884411689307,0.13146778065078538,2.7840822966489878,2.44535569982236,1.8972457613967115,2.013318351726803,-0.11607259033009165
